ID,Tipo,Mag,Prob,RA,DEC
1,Variable_Star,15.21,66,08:51:48,+51:11:01
2,Ruido,21.89,25,16:43:55,+55:40:38
3,Quasar,15.93,93,05:29:02,+03:41:41
4,Quasar,18.29,5,02:07:22,+47:29:13
5,Variable_Star,14.78,41,14:58:23,+63:40:07
6,Ruido,16.89,81,10:25:12,-27:38:41
7,Supernova,13.70,38,02:06:00,-65:12:08
8,Variable_Star,21.79,63,17:33:54,-64:09:52
9,Variable_Star,12.06,57,16:47:03,-03:12:28
10,Ruido,17.65,12,09:57:17,+49:03:24
11,Ruido,13.99,62,22:42:35,+10:27:08
12,Variable_Star,18.03,30,08:09:18,+74:49:05
13,Quasar,15.15,31,10:00:52,+13:23:50
14,Quasar,13.68,90,06:57:05,+69:53:48
15,Variable_Star,16.45,26,15:54:51,+77:15:00
16,Supernova,13.81,85,07:09:09,+24:35:09
17,Variable_Star,13.75,56,08:02:43,-47:19:40
18,Supernova,14.08,57,03:41:00,-18:19:55
19,Supernova,14.46,19,06:28:22,-68:48:31
20,Supernova,16.46,12,10:57:17,-90:18:20
21,Ruido,17.44,67,09:52:52,+86:01:33
22,Quasar,16.24,89,22:41:07,-70:58:36
23,Variable_Star,13.02,42,00:23:51,-67:49:49
24,Variable_Star,20.32,12,18:33:39,-12:58:32
25,Supernova,21.50,56,21:56:59,+46:51:40
26,Quasar,21.75,66,11:27:45,+73:28:08
27,Ruido,18.00,98,14:01:48,+37:48:21
28,Supernova,14.40,33,22:33:16,-04:25:13
29,Variable_Star,13.83,9,03:04:03,+54:33:31
30,Variable_Star,16.68,100,16:14:35,+30:49:37
31,Variable_Star,17.37,42,20:54:39,-60:49:12
32,Variable_Star,15.12,64,16:46:49,+47:55:53
33,Quasar,19.28,45,08:17:55,-28:59:09
34,Quasar,18.57,99,13:07:31,+87:57:26
35,Ruido,13.32,26,20:34:34,+00:15:21
36,Supernova,12.26,28,05:51:00,+30:12:17
37,Variable_Star,17.60,28,17:29:56,+41:03:04
38,Supernova,12.45,3,16:41:10,+81:32:45
39,Variable_Star,12.50,1,21:22:02,-59:35:53
40,GRB,14.56,10,11:50:39,+48:35:09
41,Ruido,15.18,22,18:34:16,+58:15:57
42,Quasar,14.14,51,17:44:33,+46:38:56
43,Ruido,20.08,52,16:59:46,+52:28:37
44,Variable_Star,14.48,20,14:57:31,+63:44:05
45,GRB,17.74,36,01:34:34,+16:18:18
46,GRB,12.69,96,02:51:45,+19:32:45
47,Supernova,15.43,23,00:48:28,-51:25:26
48,Ruido,14.75,19,20:23:45,-55:28:19
49,Ruido,12.72,64,02:13:42,-84:18:34
50,Ruido,21.24,12,13:18:27,+50:19:16
51,Supernova,17.41,69,16:17:58,+68:07:21
52,Ruido,15.22,85,23:05:54,+21:10:08
53,Supernova,14.10,45,21:00:22,-86:33:41
54,Variable_Star,15.32,1,18:35:33,-09:16:50
55,Variable_Star,13.66,97,18:48:17,+22:47:22
56,Variable_Star,16.02,55,16:43:45,-67:37:45
57,Variable_Star,18.57,32,04:08:39,-54:54:14
58,Ruido,15.58,52,14:46:41,+10:33:29
59,Quasar,13.82,28,05:43:41,+47:23:24
60,Variable_Star,17.25,4,06:01:42,+18:13:51
61,Supernova,16.26,76,11:10:07,-88:46:53
62,Ruido,15.34,45,04:10:38,-04:23:21
63,GRB,13.55,75,13:40:16,+22:57:18
64,Supernova,17.70,53,04:49:57,+79:19:08
65,GRB,15.36,92,22:02:14,-18:14:25
66,GRB,19.18,82,09:53:58,-65:27:38
67,Variable_Star,12.90,61,17:25:10,-45:36:00
68,Supernova,17.40,33,08:35:39,-44:32:42
69,Variable_Star,21.51,94,22:59:39,+43:22:32
70,Ruido,17.24,0,08:56:05,+84:40:30
71,GRB,21.20,11,03:07:39,-03:28:15
72,GRB,19.27,80,20:13:45,+52:09:44
73,Variable_Star,21.04,12,23:36:38,+88:58:35
74,GRB,21.42,26,14:05:10,+38:15:18
75,Supernova,19.36,78,14:53:30,-15:44:44
76,GRB,17.28,90,21:58:47,-84:57:24
77,Ruido,21.50,39,06:02:19,+05:38:25
78,Ruido,15.47,67,00:42:24,+51:20:17
79,Supernova,19.59,3,00:55:33,+74:50:32
80,Ruido,20.82,50,03:33:26,+03:50:28
81,Quasar,15.65,11,06:04:27,+80:05:10
82,Supernova,20.72,52,15:09:16,+33:10:12
83,Supernova,12.98,5,18:48:56,-40:56:29
84,Ruido,16.63,33,04:18:41,-33:35:46
85,Ruido,17.29,86,23:53:43,-05:32:53
86,Ruido,14.19,7,23:27:10,-88:14:59
87,Quasar,17.29,93,10:15:23,+50:27:42
88,Variable_Star,19.85,28,06:34:48,-71:31:41
89,Quasar,12.07,23,17:45:27,+53:43:55
90,Quasar,19.33,16,22:40:41,+68:07:57
91,Supernova,21.11,41,23:23:11,-43:38:45
92,GRB,19.51,29,18:35:18,-89:19:03
93,Variable_Star,13.16,78,09:05:30,+08:02:11
94,Supernova,21.18,32,04:11:14,+18:09:37
95,Quasar,16.24,27,13:30:01,+65:16:36
96,GRB,14.87,93,05:44:02,-89:07:07
97,Variable_Star,18.73,16,17:54:05,-83:06:16
98,Supernova,19.11,44,21:30:51,-60:05:21
99,GRB,21.49,64,19:07:55,+41:20:40
100,Ruido,15.56,80,21:52:28,-78:35:23
101,GRB,18.39,49,10:54:12,+64:49:43
102,Ruido,21.91,81,01:11:45,+39:59:52
103,Ruido,19.15,21,07:29:34,-68:23:27
104,Variable_Star,16.58,4,23:36:41,-04:02:36
105,Ruido,20.96,42,09:36:24,-54:41:35
106,Quasar,16.19,58,19:03:17,-83:23:47
107,Ruido,17.12,17,01:06:38,-71:05:14
108,Ruido,17.75,28,09:15:10,+58:39:47
109,Supernova,20.68,49,20:49:54,-15:38:58
110,Ruido,18.90,36,12:18:52,+32:21:59
111,Supernova,16.72,8,13:16:39,+61:40:54
112,GRB,16.91,58,19:43:26,-36:33:16
113,Supernova,21.82,92,04:42:36,+09:12:54
114,Variable_Star,20.86,27,09:12:44,-02:45:00
115,GRB,18.09,68,01:37:10,+25:26:54
116,GRB,19.42,46,08:57:26,-40:08:08
117,Quasar,18.92,35,19:07:14,-77:31:26
118,Quasar,12.23,20,19:10:48,+02:14:26
119,Ruido,20.79,89,14:58:37,-81:19:34
120,Variable_Star,18.06,72,15:29:24,+89:17:31
121,Supernova,15.70,6,16:11:04,+69:01:15
122,Ruido,17.36,49,03:13:22,-85:48:20
123,Ruido,20.65,66,05:21:16,+81:00:45
124,Supernova,12.12,6,21:14:25,+81:55:37
125,GRB,20.16,64,06:31:10,+50:39:23
126,GRB,18.96,21,11:21:04,-64:35:26
127,Variable_Star,17.37,45,04:54:27,-47:47:42
128,Ruido,19.45,64,06:46:27,+77:04:58
129,GRB,20.46,64,12:59:20,+38:28:41
130,Ruido,18.23,27,05:02:48,+32:13:42
131,GRB,16.59,50,20:07:14,+00:25:01
132,Quasar,15.47,9,22:27:56,+14:57:56
133,Quasar,18.69,41,14:27:02,+68:41:04
134,Ruido,15.65,29,09:30:44,+74:22:52
135,GRB,20.68,30,04:49:38,-39:45:05
136,Supernova,15.47,5,03:15:43,+13:52:10
137,Ruido,19.58,87,16:27:13,+84:51:44
138,Ruido,19.71,10,14:55:58,+71:07:48
139,Variable_Star,16.05,57,15:37:54,+34:47:10
140,Variable_Star,15.67,5,14:58:48,-08:39:15
141,Ruido,18.27,12,10:20:53,+06:56:49
142,Variable_Star,20.47,95,07:23:21,+69:01:59
143,Quasar,19.21,78,23:08:08,-84:43:07
144,Quasar,13.90,78,02:52:24,-47:18:45
145,GRB,20.45,70,23:21:32,+74:40:56
146,Supernova,17.57,97,06:21:41,-84:20:49
147,GRB,15.79,55,07:13:44,-77:20:37
148,Variable_Star,17.93,93,05:43:46,+76:42:07
149,Variable_Star,18.17,81,09:53:21,-23:08:42
150,GRB,13.75,5,21:21:26,-13:39:40
151,GRB,19.29,1,18:12:36,+39:25:20
152,Variable_Star,15.60,4,14:49:39,-14:14:32
153,Ruido,18.15,69,12:40:51,+10:33:13
154,Quasar,21.82,88,15:09:36,+32:56:48
155,Supernova,18.62,24,15:09:36,+32:46:26
156,Supernova,14.02,68,21:59:17,+13:29:57
157,Variable_Star,12.43,51,15:02:29,+06:41:38
158,GRB,15.76,59,22:39:15,-57:17:24
159,Ruido,21.76,18,05:18:23,+71:12:22
160,GRB,19.81,87,03:13:54,+29:53:56
161,GRB,16.21,64,19:33:00,-18:30:40
162,Ruido,18.95,98,01:29:57,-44:42:16
163,Ruido,18.04,47,00:47:15,+69:56:28
164,Ruido,18.05,36,17:45:46,-23:34:20
165,Supernova,21.83,85,01:38:32,-81:42:01
166,GRB,21.71,74,06:37:20,+45:38:07
167,GRB,17.30,7,11:19:40,+62:03:26
168,Ruido,16.30,2,23:49:00,+58:53:38
169,Supernova,21.41,36,09:56:19,-67:13:57
170,Variable_Star,21.77,60,14:59:07,+31:28:26
171,Supernova,15.19,50,18:57:55,+56:55:44
172,Quasar,19.50,64,11:07:34,+57:30:31
173,GRB,18.49,75,02:07:43,+35:43:42
174,Quasar,15.96,18,06:44:30,+48:32:27
175,Ruido,15.48,38,10:09:07,-75:37:14
176,Ruido,16.46,76,04:35:24,+80:42:31
177,Ruido,16.03,25,09:13:39,+12:29:23
178,GRB,14.61,94,12:57:16,+72:24:26
179,GRB,16.98,6,06:10:30,-83:21:06
180,Variable_Star,15.11,82,23:59:13,-47:22:26
181,Quasar,21.47,94,06:01:11,-51:32:09
182,Variable_Star,16.50,57,22:28:04,-88:45:14
183,Variable_Star,20.02,60,15:15:54,-08:14:53
184,Ruido,16.77,27,02:22:13,-79:39:14
185,Supernova,20.77,79,10:22:13,+88:19:42
186,GRB,15.37,48,07:51:16,+70:30:31
187,Ruido,21.65,77,16:38:14,+83:46:36
188,GRB,20.33,27,09:05:08,-55:31:31
189,Variable_Star,17.13,85,03:34:11,+22:51:03
190,Quasar,19.56,56,10:33:31,-54:14:09
191,Variable_Star,14.09,94,01:23:46,-30:48:51
192,Variable_Star,12.04,38,00:26:53,+64:34:28
193,GRB,14.06,33,02:06:05,+27:32:38
194,GRB,19.49,90,08:12:06,-41:16:29
195,GRB,18.04,29,21:05:17,-38:05:44
196,GRB,21.55,31,15:00:31,+89:05:37
197,GRB,19.48,17,17:55:55,+22:15:07
198,Ruido,17.39,39,05:34:59,+01:29:04
199,Quasar,19.83,18,13:58:08,+64:37:08
200,Supernova,18.25,23,00:42:58,-57:26:54
201,GRB,12.67,16,05:47:42,+21:00:17
202,Ruido,17.18,78,16:19:33,+68:52:31
203,GRB,19.30,16,03:06:47,-22:07:29
204,Supernova,15.10,95,06:25:00,-13:39:48
205,GRB,14.72,81,10:53:19,-55:35:39
206,Ruido,16.68,53,06:28:15,-09:37:22
207,Supernova,12.14,49,17:22:48,+33:38:13
208,Ruido,12.67,87,11:12:08,-35:37:01
209,Ruido,20.18,62,06:34:05,+56:51:34
210,GRB,15.20,20,10:33:13,+77:18:35
211,Ruido,21.89,23,22:40:18,+57:10:30
212,Quasar,16.86,12,23:07:56,+20:24:30
213,Ruido,14.24,38,06:17:42,-04:43:15
214,Ruido,18.64,57,07:23:33,+05:20:14
215,Quasar,13.69,42,07:07:54,-09:07:01
216,Supernova,19.45,43,21:27:39,-40:43:56
217,Quasar,14.09,68,05:54:20,+56:12:44
218,Supernova,19.37,8,14:34:15,-87:53:23
219,Quasar,15.48,52,22:44:15,-22:38:42
220,GRB,21.23,44,23:54:39,+30:09:33
221,GRB,21.65,77,18:19:30,+62:56:04
222,GRB,21.59,98,11:53:19,-88:49:03
223,Supernova,14.12,70,23:14:37,-12:13:31
224,GRB,21.00,68,15:54:38,-15:40:58
225,Quasar,17.16,92,23:37:52,+84:06:45
226,Supernova,13.24,59,08:24:47,-84:23:02
227,Ruido,20.26,28,04:54:10,+64:33:05
228,Variable_Star,21.77,77,11:54:16,-20:53:54
229,Supernova,20.68,1,00:09:08,+17:29:32
230,Supernova,17.36,93,10:11:45,+39:22:40
231,Quasar,14.35,22,23:44:12,+46:12:06
232,GRB,18.06,0,22:51:52,+81:52:01
233,GRB,16.77,53,14:52:03,+09:19:15
234,Supernova,12.38,63,23:56:51,-54:55:36
235,Variable_Star,18.87,82,12:43:25,+02:39:17
236,Supernova,18.14,17,09:42:38,+78:19:31
237,Quasar,20.80,84,06:11:52,+68:10:48
238,Ruido,15.73,74,08:46:25,-60:17:09
239,Variable_Star,20.05,82,21:11:25,-81:36:08
240,Ruido,17.41,46,05:32:20,-80:47:31
241,Quasar,18.75,70,17:25:04,-03:46:50
242,Quasar,21.43,14,01:32:56,+70:25:08
243,Supernova,16.80,74,10:10:16,+74:23:49
244,Supernova,16.56,61,18:23:17,-04:07:42
245,Variable_Star,18.17,48,09:32:25,+07:36:57
246,Variable_Star,16.95,39,14:49:52,-25:16:02
247,Ruido,13.89,45,11:26:54,-77:13:17
248,Supernova,19.07,42,01:15:02,+09:39:34
249,Quasar,14.00,18,22:41:40,-32:18:29
250,GRB,18.71,77,05:18:57,+34:46:23
251,Variable_Star,20.51,63,21:12:19,-34:16:35
252,Supernova,20.31,24,22:48:26,-71:44:07
253,Ruido,12.67,44,06:15:06,-83:30:25
254,Quasar,13.95,20,09:47:03,-87:40:15
255,Supernova,21.93,55,22:20:22,-57:16:10
256,Ruido,15.84,93,18:10:59,-53:26:15
257,Supernova,16.84,76,17:28:56,+81:52:44
258,GRB,20.97,42,06:14:24,+56:11:45
259,GRB,15.73,3,08:00:25,-37:46:35
260,Supernova,21.79,3,12:18:30,-38:02:59
